adjusted_stat_amount,Time Played,Time,season,team,stat_name,stat_amount
13.852006311,440.008462553,101.583333333,2,Los Angeles Valiant,Defensive Assists,6095
4.916051086,410.695488003,33.65,2,Boston Uprising,Deaths,2019
8.746130307,447.512198261,65.233333333,2,Los Angeles Gladiators,Offensive Assists,3914
600.000000000,443.712951378,4437.129513778,2,London Spitfire,Time Played,266227.770826681
3.987375628,495.313254703,32.916666667,2,Hangzhou Spark,Deaths,1975
7442.064469615,379.634997627,47087.80212104,2,Washington Justice,All Damage Done,2825268.12726239
600.000000001,383.798286756,3837.982867564,2,Toronto Defiant,Time Played,230278.972053825
600.000000001,501.741598067,5017.415980675,2,Seoul Dynasty,Time Played,301044.958840485
8333.504170462,444.011463614,61669.523062667,2,Philadelphia Fusion,All Damage Done,3700171.38376001
6087.736045665,369.158405218,37455.648833429,2,Chengdu Hunters,All Damage Done,2247338.93000572
8406.639744870,402.458129245,56388.675082616,2,Dallas Fuel,Healing Done,3383320.50495695
600.000000000,440.008462553,4400.084625527,2,Los Angeles Valiant,Time Played,264005.077531625
4.728362731,447.512198261,35.266666667,2,Los Angeles Gladiators,Deaths,2116
9400.701377647,619.237845445,97021.167779431,2,San Francisco Shock,Healing Done,5821270.06676589
600.000000000,619.237845445,6192.378454453,2,San Francisco Shock,Time Played,371542.707267195
4.094989777,443.712951378,30.283333333,2,London Spitfire,Deaths,1817
4.096039643,379.634997627,25.916666667,2,Washington Justice,Deaths,1555
15.370071218,495.313254703,126.883333333,2,Hangzhou Spark,Defensive Assists,7613
7.428187648,379.634997627,47,2,Washington Justice,Offensive Assists,2820
8952.799979469,568.650414359,84850.223633306,2,Vancouver Titans,All Damage Done,5091013.41799838
553.515806703,447.512198261,4128.417923832,2,Los Angeles Gladiators,Time Alive,247705.075429896
4.970551211,477.814209993,39.583333333,2,Atlanta Reign,Deaths,2375
4.037892090,405.409546213,27.283333333,2,Guangzhou Charge,Deaths,1637
9.627846081,443.712951378,71.2,2,London Spitfire,Offensive Assists,4272
560.642594721,495.313254703,4628.228471941,2,Hangzhou Spark,Time Alive,277693.708316473
17.678699859,568.650414359,167.55,2,Vancouver Titans,Defensive Assists,10053
8089.285267500,405.409546213,54657.891158078,2,Guangzhou Charge,All Damage Done,3279473.4694847
4.709337869,444.011463614,34.85,2,Philadelphia Fusion,Deaths,2091
14.257489387,383.798286756,91.2,2,Toronto Defiant,Defensive Assists,5472
8501.639599956,495.313254703,70182.913009439,2,Hangzhou Spark,Healing Done,4210974.78056632
9065.356682215,619.237845445,93560.199001418,2,San Francisco Shock,All Damage Done,5613611.94008506
10.142616019,505.68807797,85.483333333,2,New York Excelsior,Offensive Assists,5129
