adjusted_stat_amount,Time Played,Time,season,team,stat_name,stat_amount
2.019882271,485.176791771,16.333333333,1,London Spitfire,Critical Hit Kills,980
600.000000000,477.676068826,4776.760688259,1,Boston Uprising,Time Played,286605.641295522
600.000000000,472.077459662,4720.774596622,1,Los Angeles Valiant,Time Played,283246.475797332
276.768691238,447.67762254,2065.052494786,1,Los Angeles Gladiators,Time Alive,123903.149687149
600.000000000,503.422498434,5034.22498434,1,Philadelphia Fusion,Time Played,302053.499060427
9.006103259,477.676068826,71.7,1,Boston Uprising,Final Blows,4302
10183.825381555,516.612940566,87684.932942929,1,New York Excelsior,All Damage Done,5261095.97657574
8.854504323,485.176791771,71.6,1,London Spitfire,Final Blows,4296
10258.554330950,485.176791771,82953.541308313,1,London Spitfire,All Damage Done,4977212.47849878
257.306531251,419.150453217,1797.502486491,1,Seoul Dynasty,Time Alive,107850.149189437
1.846592301,419.150453217,12.9,1,Seoul Dynasty,Critical Hit Kills,774
5.754946039,477.676068826,45.816666667,1,Boston Uprising,Deaths,2749
16.157679042,417.510459409,112.433333333,1,Houston Outlaws,Eliminations,6746
2.397544726,417.510459409,16.683333333,1,Houston Outlaws,Critical Hit Kills,1001
10552.035665851,447.67762254,78731.837330759,1,Los Angeles Gladiators,All Damage Done,4723910.23984553
6.977070716,417.510459409,48.55,1,Houston Outlaws,Deaths,2913
10846.669794545,419.150453217,75773.109337976,1,Seoul Dynasty,All Damage Done,4546386.56027857
17.154041845,516.612940566,147.7,1,New York Excelsior,Eliminations,8862
8.530692194,447.67762254,63.65,1,Los Angeles Gladiators,Final Blows,3819
274.047188947,477.676068826,2181.763064816,1,Boston Uprising,Time Alive,130905.783888965
1.659838656,417.510459409,11.55,1,Houston Outlaws,Solo Kills,693
246.442014740,402.361326406,1652.645598885,1,Dallas Fuel,Time Alive,99158.735933119
2.322105197,503.422498434,19.483333333,1,Philadelphia Fusion,Critical Hit Kills,1169
2.067793164,402.361326406,13.866666667,1,Dallas Fuel,Critical Hit Kills,832
289.102243877,485.176791771,2337.76165297,1,London Spitfire,Time Alive,140265.699178226
600.000000000,485.176791771,4851.767917706,1,London Spitfire,Time Played,291106.075062368
5.967241058,472.077459662,46.95,1,Los Angeles Valiant,Deaths,2817
268.659538476,417.510459409,1869.46945556,1,Houston Outlaws,Time Alive,112168.167333598
9.111270025,516.612940566,78.45,1,New York Excelsior,Final Blows,4707
600.000000001,402.361326406,4023.613264065,1,Dallas Fuel,Time Played,241416.795843883
11384.786717441,472.077459662,89575.019872718,1,Los Angeles Valiant,All Damage Done,5374501.19236308
1.591133198,516.612940566,13.7,1,New York Excelsior,Solo Kills,822
255.863870696,364.725451509,1555.334429405,1,Shanghai Dragons,Time Alive,93320.065764319
17.298848878,485.176791771,139.883333333,1,London Spitfire,Eliminations,8393
1.542119805,472.077459662,12.133333333,1,Los Angeles Valiant,Solo Kills,728
10941.265352115,417.510459409,76134.878727954,1,Houston Outlaws,All Damage Done,4568092.72367726
1.560298921,419.150453217,10.9,1,Seoul Dynasty,Solo Kills,654
600.000000000,447.67762254,4476.776225403,1,Los Angeles Gladiators,Time Played,268606.573524206
1.228866251,477.676068826,9.783333333,1,Boston Uprising,Solo Kills,587
1.989023064,414.776487437,13.75,1,Florida Mayhem,Critical Hit Kills,825
11407.491780529,402.361326406,76498.892062989,1,Dallas Fuel,All Damage Done,4589933.52377931
250.170800970,414.776487437,1729.416101425,1,Florida Mayhem,Time Alive,103764.966085497
16.867367013,404.390323329,113.683333333,1,San Francisco Shock,Eliminations,6821
8.669841482,404.390323329,58.433333333,1,San Francisco Shock,Final Blows,3506
6.951463315,402.361326406,46.616666667,1,Dallas Fuel,Deaths,2797
