match_loser,match_winner,season,stage,match_id
Seoul Dynasty,London Spitfire,1,One,10264
Shanghai Dragons,Dallas Fuel,1,Two,10279
Guangzhou Charge,Shanghai Dragons,2,Three,21441
Boston Uprising,Washington Justice,3,OWL 2020 Regular Season,34745
Dallas Fuel,San Francisco Shock,3,OWL 2020 Regular Season,32853
Toronto Defiant,Florida Mayhem,2,Four,21460
Shanghai Dragons,Florida Mayhem,1,One,10242
Atlanta Reign,Seoul Dynasty,2,Three,21355
San Francisco Shock,Florida Mayhem,1,Two,10577
Toronto Defiant,Atlanta Reign,3,OWL 2020 Regular Season,34492
Los Angeles Valiant,Philadelphia Fusion,1,Two,10583
Paris Eternal,Atlanta Reign,2,Four,21434
Florida Mayhem,Philadelphia Fusion,2,Two,21247
Toronto Defiant,Los Angeles Valiant,3,OWL 2020 Regular Season,34202
London Spitfire,Philadelphia Fusion,1,Four,10630
Dallas Fuel,Los Angeles Gladiators,3,OWL 2020 Regular Season,31071
New York Excelsior,Boston Uprising,1,Four,10626
Seoul Dynasty,Los Angeles Gladiators,1,Three,10353
Atlanta Reign,Philadelphia Fusion,3,OWL 2020 Regular Season,32828
Boston Uprising,Washington Justice,3,OWL 2020 Regular Season,31038
Chengdu Hunters,Los Angeles Gladiators,2,Four,21400
Atlanta Reign,Chengdu Hunters,2,One,21304
Florida Mayhem,San Francisco Shock,1,One,10265
Guangzhou Charge,Chengdu Hunters,3,OWL 2020 Regular Season,32851
Toronto Defiant,San Francisco Shock,2,One - Title,20304
Shanghai Dragons,New York Excelsior,1,One,10263
