season,stage,map_winner,map_loser,map_name,map_type,match_count
2,Two,London Spitfire,Paris Eternal,Junkertown,Escort,2
3,OWL 2020 Regular Season,Dallas Fuel,Washington Justice,Hanamura,Assault,2
3,OWL 2020 Regular Season,San Francisco Shock,Dallas Fuel,Oasis,Control,3
1,Four,Los Angeles Valiant,Seoul Dynasty,Lijiang Tower,Control,2
3,OWL 2020 Regular Season,Washington Justice,London Spitfire,Oasis,Control,2
1,Four,Seoul Dynasty,Los Angeles Valiant,Watchpoint: Gibraltar,Escort,4
2,Three,Atlanta Reign,Florida Mayhem,Ilios,Control,3
2,Three,Los Angeles Gladiators,Washington Justice,Numbani,Hybrid,2
2,Four,Atlanta Reign,London Spitfire,Blizzard World,Hybrid,2
1,Two - Title,Philadelphia Fusion,London Spitfire,Hanamura,Assault,2
2,Three,New York Excelsior,London Spitfire,Horizon Lunar Colony,Assault,2
2,Four,Los Angeles Gladiators,Los Angeles Valiant,Blizzard World,Hybrid,2
2,One - Title,San Francisco Shock,Toronto Defiant,Horizon Lunar Colony,Assault,4
3,OWL 2020 Regular Season,Florida Mayhem,Toronto Defiant,Hanamura,Assault,2
1,Four,New York Excelsior,Florida Mayhem,King's Row,Hybrid,2
2,One,Houston Outlaws,Toronto Defiant,Numbani,Hybrid,4
3,OWL 2020 Regular Season,Florida Mayhem,Boston Uprising,Hollywood,Hybrid,4
1,One,Philadelphia Fusion,Houston Outlaws,Dorado,Escort,2
2,Three,London Spitfire,Washington Justice,Dorado,Escort,4
2,One,Vancouver Titans,Paris Eternal,Rialto,Escort,2
3,OWL 2020 Regular Season,Philadelphia Fusion,New York Excelsior,Eichenwalde,Hybrid,4
3,OWL 2020 Regular Season,Atlanta Reign,Boston Uprising,Oasis,Control,2
3,OWL 2020 Regular Season,Florida Mayhem,London Spitfire,Ilios,Control,3
2,Four,Houston Outlaws,Los Angeles Gladiators,Hanamura,Assault,4
2,Four,Dallas Fuel,London Spitfire,Ilios,Control,3
2,Three,Philadelphia Fusion,Boston Uprising,Hollywood,Hybrid,2
1,Four,Boston Uprising,Los Angeles Valiant,Oasis,Control,3
2,Two - Title,San Francisco Shock,Hangzhou Spark,Watchpoint: Gibraltar,Escort,4
3,OWL 2020 Regular Season,Seoul Dynasty,Los Angeles Valiant,Nepal,Control,2
2,One,Boston Uprising,Houston Outlaws,Hollywood,Hybrid,2
1,One,Philadelphia Fusion,New York Excelsior,Lijiang Tower,Control,2
1,Inaugural Championship,Los Angeles Gladiators,London Spitfire,Lijiang Tower,Control,3
3,OWL 2020 Regular Season,Atlanta Reign,Los Angeles Gladiators,Blizzard World,Hybrid,4
3,OWL 2020 Regular Season,New York Excelsior,Seoul Dynasty,Hollywood,Hybrid,2
3,OWL 2020 Regular Season,Hangzhou Spark,London Spitfire,Temple of Anubis,Assault,2
1,Two,London Spitfire,Shanghai Dragons,Watchpoint: Gibraltar,Escort,2
1,Two,Seoul Dynasty,Houston Outlaws,Nepal,Control,2
2,Season 2 Championship,London Spitfire,Shanghai Dragons,Busan,Control,2
2,Four,Vancouver Titans,Florida Mayhem,Blizzard World,Hybrid,2
1,Two,Los Angeles Valiant,Dallas Fuel,Hollywood,Hybrid,2
2,Three,San Francisco Shock,Boston Uprising,Paris,Assault,4
2,Two - Title,Vancouver Titans,New York Excelsior,Lijiang Tower,Control,3
1,Three,London Spitfire,Boston Uprising,Temple of Anubis,Assault,3
1,Two,Seoul Dynasty,Los Angeles Valiant,Nepal,Control,2
2,Four,Toronto Defiant,Philadelphia Fusion,Volskaya Industries,Assault,2
1,Three,London Spitfire,Seoul Dynasty,Junkertown,Escort,2
2,Three,Houston Outlaws,Toronto Defiant,Eichenwalde,Hybrid,2
2,One,Shanghai Dragons,Chengdu Hunters,Busan,Control,3
2,One,Boston Uprising,Florida Mayhem,Horizon Lunar Colony,Assault,6
2,Two - Title,San Francisco Shock,Hangzhou Spark,Blizzard World,Hybrid,2
3,OWL 2020 Regular Season,Los Angeles Gladiators,Atlanta Reign,Junkertown,Escort,4
3,OWL 2020 Regular Season,Paris Eternal,Washington Justice,Junkertown,Escort,2
3,OWL 2020 Regular Season,Shanghai Dragons,Hangzhou Spark,Junkertown,Escort,2
3,OWL 2020 Regular Season,Atlanta Reign,Boston Uprising,Havana,Escort,2
2,Four,Guangzhou Charge,Boston Uprising,Havana,Escort,4
2,One,Washington Justice,Florida Mayhem,Nepal,Control,3
3,OWL 2020 Regular Season,Shanghai Dragons,Hangzhou Spark,Watchpoint: Gibraltar,Escort,2
1,Two,Los Angeles Gladiators,Houston Outlaws,King's Row,Hybrid,2
2,Season 2 Championship,Guangzhou Charge,Seoul Dynasty,Rialto,Escort,2
1,Three,Shanghai Dragons,Florida Mayhem,Blizzard World,Hybrid,2
2,Two,Los Angeles Gladiators,Shanghai Dragons,Watchpoint: Gibraltar,Escort,2
3,OWL 2020 Regular Season,Shanghai Dragons,Hangzhou Spark,Hanamura,Assault,2
1,Three,Boston Uprising,London Spitfire,Oasis,Control,3
2,Two,San Francisco Shock,Los Angeles Valiant,Watchpoint: Gibraltar,Escort,2
1,Four,Boston Uprising,Los Angeles Valiant,Dorado,Escort,2
2,One - Title,New York Excelsior,Seoul Dynasty,Volskaya Industries,Assault,6
2,One,Guangzhou Charge,Chengdu Hunters,Busan,Control,2
1,Four,Dallas Fuel,Florida Mayhem,Blizzard World,Hybrid,2
2,One,Dallas Fuel,Seoul Dynasty,Busan,Control,3
2,Four,Vancouver Titans,London Spitfire,Route 66,Escort,4
2,Four,Washington Justice,Vancouver Titans,Volskaya Industries,Assault,2
1,Four,draw,draw,Horizon Lunar Colony,Assault,11
2,Four,Toronto Defiant,Shanghai Dragons,Volskaya Industries,Assault,2
3,OWL 2020 Regular Season,Houston Outlaws,Boston Uprising,Nepal,Control,3
2,Four,Washington Justice,Vancouver Titans,Havana,Escort,2
2,Two,New York Excelsior,Philadelphia Fusion,Temple of Anubis,Assault,4
1,Two,Houston Outlaws,Philadelphia Fusion,Volskaya Industries,Assault,4
3,OWL 2020 Regular Season,Toronto Defiant,Vancouver Titans,Nepal,Control,3
2,Two,New York Excelsior,Washington Justice,Hanamura,Assault,3
2,Season 2 Championship,Seoul Dynasty,Hangzhou Spark,Eichenwalde,Hybrid,2
2,Three - Title,Shanghai Dragons,New York Excelsior,Oasis,Control,2
3,OWL 2020 Regular Season,Los Angeles Valiant,Toronto Defiant,Temple of Anubis,Assault,3
2,Four,draw,draw,Hollywood,Hybrid,3
1,One,Seoul Dynasty,Dallas Fuel,Temple of Anubis,Assault,6
3,OWL 2020 Regular Season,Shanghai Dragons,New York Excelsior,King's Row,Hybrid,2
