round_start_time,round_end_time,stage,match_id,game_number,match_winner,map_winner,map_loser,map_name,map_round,winning_team_final_map_score,losing_team_final_map_score,control_round_name,attacker,defender,team_one_name,team_two_name,attacker_payload_distance,defender_payload_distance,attacker_time_banked,defender_time_banked,attacker_control_perecent,defender_control_perecent,attacker_round_end_score,defender_round_end_score
2018-01-11T00:12:00Z,2018-01-11T00:20:00Z,Overwatch League Stage 1,10223,1,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Dorado,1,3,2,NULL,San Francisco Shock,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,75.61505127,0,0,240,NULL,NULL,2,0
2018-01-11T00:22:00Z,2018-01-11T00:27:00Z,Overwatch League Stage 1,10223,1,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Dorado,2,3,2,NULL,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,San Francisco Shock,75.64959717,75.61505127,125.7505722,0,NULL,NULL,3,2
2018-01-11T00:34:00Z,2018-01-11T00:38:00Z,Overwatch League Stage 1,10223,2,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Temple of Anubis,1,4,3,NULL,San Francisco Shock,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,0,0,250.4920044,240,NULL,NULL,2,0
2018-01-11T00:40:00Z,2018-01-11T00:44:00Z,Overwatch League Stage 1,10223,2,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Temple of Anubis,2,4,3,NULL,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,San Francisco Shock,0,0,225.789032,250.4920044,NULL,NULL,2,2
2018-01-11T00:46:00Z,2018-01-11T00:49:00Z,Overwatch League Stage 1,10223,2,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Temple of Anubis,3,4,3,NULL,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,San Francisco Shock,0,0,36.39605713,250.4920044,NULL,NULL,4,2
2018-01-11T00:51:00Z,2018-01-11T00:56:00Z,Overwatch League Stage 1,10223,2,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Temple of Anubis,4,4,3,NULL,San Francisco Shock,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,0,0,0,36.39605713,NULL,NULL,3,4
2018-01-11T01:11:00Z,2018-01-11T01:16:00Z,Overwatch League Stage 1,10223,3,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Ilios,1,2,1,Lighthouse,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,San Francisco Shock,0,0,0,0,99,100,0,1
2018-01-11T01:17:00Z,2018-01-11T01:20:00Z,Overwatch League Stage 1,10223,3,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Ilios,2,2,1,Ruins,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,San Francisco Shock,0,0,0,0,100,0,1,1
2018-01-11T01:20:00Z,2018-01-11T01:25:00Z,Overwatch League Stage 1,10223,3,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Ilios,3,2,1,Well,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,San Francisco Shock,0,0,0,0,100,65,2,1
2018-01-11T01:32:00Z,2018-01-11T01:39:00Z,Overwatch League Stage 1,10223,4,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Numbani,1,2,1,NULL,San Francisco Shock,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,75.54950714,0,0,0,NULL,NULL,1,0
