round_start_time,round_end_time,stage,match_id,game_number,match_winner,map_winner,map_loser,map_name,map_round,winning_team_final_map_score,losing_team_final_map_score,control_round_name,attacker,defender,team_one_name,team_two_name,attacker_payload_distance,defender_payload_distance,attacker_time_banked,defender_time_banked,attacker_control_perecent,defender_control_perecent,attacker_round_end_score,defender_round_end_score
2019-02-15T00:11:00Z,2019-02-15T00:14:00Z,Overwatch League Stage 1,21211,1,Philadelphia Fusion,Philadelphia Fusion,London Spitfire,Ilios,1,2,1,Lighthouse,Philadelphia Fusion,London Spitfire,Philadelphia Fusion,London Spitfire,0,0,0,0,57,100,0,1
2019-02-15T00:15:00Z,2019-02-15T00:18:00Z,Overwatch League Stage 1,21211,1,Philadelphia Fusion,Philadelphia Fusion,London Spitfire,Ilios,2,2,1,Ruins,Philadelphia Fusion,London Spitfire,Philadelphia Fusion,London Spitfire,0,0,0,0,100,0,1,1
2019-02-15T00:19:00Z,2019-02-15T00:23:00Z,Overwatch League Stage 1,21211,1,Philadelphia Fusion,Philadelphia Fusion,London Spitfire,Ilios,3,2,1,Well,Philadelphia Fusion,London Spitfire,Philadelphia Fusion,London Spitfire,0,0,0,0,100,27,2,1
2019-02-15T00:27:00Z,2019-02-15T00:35:00Z,Overwatch League Stage 1,21211,2,Philadelphia Fusion,Philadelphia Fusion,London Spitfire,Hollywood,1,3,2,NULL,Philadelphia Fusion,London Spitfire,London Spitfire,Philadelphia Fusion,72.08255005,0,0,0,NULL,NULL,2,0
2019-02-15T00:38:00Z,2019-02-15T00:46:00Z,Overwatch League Stage 1,21211,2,Philadelphia Fusion,Philadelphia Fusion,London Spitfire,Hollywood,2,3,2,NULL,London Spitfire,Philadelphia Fusion,London Spitfire,Philadelphia Fusion,66.11850739,72.08255005,0,0,NULL,NULL,2,3
2019-02-15T00:59:00Z,2019-02-15T01:03:00Z,Overwatch League Stage 1,21211,3,Philadelphia Fusion,London Spitfire,Philadelphia Fusion,Volskaya Industries,1,5,4,NULL,London Spitfire,Philadelphia Fusion,Philadelphia Fusion,London Spitfire,0,0,226.5079803,0,NULL,NULL,2,0
2019-02-15T01:06:00Z,2019-02-15T01:11:00Z,Overwatch League Stage 1,21211,3,Philadelphia Fusion,London Spitfire,Philadelphia Fusion,Volskaya Industries,2,5,4,NULL,Philadelphia Fusion,London Spitfire,Philadelphia Fusion,London Spitfire,0,0,215.0710144,226.5079803,NULL,NULL,2,2
2019-02-15T01:12:00Z,2019-02-15T01:17:00Z,Overwatch League Stage 1,21211,3,Philadelphia Fusion,London Spitfire,Philadelphia Fusion,Volskaya Industries,3,5,4,NULL,Philadelphia Fusion,London Spitfire,Philadelphia Fusion,London Spitfire,0,0,0,226.5079803,NULL,NULL,4,2
2019-02-15T01:19:00Z,2019-02-15T01:21:00Z,Overwatch League Stage 1,21211,3,Philadelphia Fusion,London Spitfire,Philadelphia Fusion,Volskaya Industries,4,5,4,NULL,London Spitfire,Philadelphia Fusion,Philadelphia Fusion,London Spitfire,0,0,115.0599747,0,NULL,NULL,4,4
2019-02-15T01:22:00Z,2019-02-15T01:25:00Z,Overwatch League Stage 1,21211,3,Philadelphia Fusion,London Spitfire,Philadelphia Fusion,Volskaya Industries,5,5,4,NULL,London Spitfire,Philadelphia Fusion,Philadelphia Fusion,London Spitfire,0,0,0,0,NULL,NULL,5,4
